RedemptionId,RewardTitle,TouristId,BranchId,PointsRedeemed,RedemptionDate,Status
1,15% Off Marriott Cairo,1,1,200,2026-08-05,Active
2,Free Nile Cruise Day,2,4,300,2026-10-03,Used
3,Free EgyptAir Upgrade,3,3,500,2026-07-15,Used
4,20% Off Luxor Winter Palace,4,5,250,2026-09-01,Active
5,Hilton Aswan Sunset Dinner,5,6,400,2026-08-20,Used
6,El Fishawy 20% Off,6,7,120,2026-09-10,Active
7,Abou El Sid 15% Off,7,8,130,2026-07-22,Used
8,Mena House 25% Off,8,9,300,2026-10-12,Active
9,Nile Cruise Cabin Credit,9,10,400,2026-08-30,Used
10,Cilantro Free Drink,10,11,50,2026-09-18,Active
11,Marriott Spa Day Pass,11,1,350,2026-07-05,Used
12,White Desert Overnight,12,4,450,2026-10-08,Active
13,Winter Palace High Tea,1,5,150,2026-08-14,Used
14,Free Shisha Session,2,7,80,2026-09-25,Active
15,Free Umm Ali,3,8,60,2026-07-30,Used
16,Aswan Spa Credit,4,6,220,2026-10-15,Active
17,Cilantro Birthday Cake,5,11,90,2026-08-11,Used
18,Mena House Pool Day,6,9,160,2026-09-29,Active
