Id,Name,Type,Address,City,ContactNumber,OpenHours,latitude,longitude
1,Cairo Police Headquarters,Police Station,"El Sheikh Rihan St, Downtown, Cairo",Cairo,23912000,24 hours,30.0497,31.241
2,Giza Police Station,Police Station,"Tahrir St, Giza",Giza,35726000,24 hours,30.0094,31.2089
3,Alexandria Police Headquarters,Police Station,"El Geish St, Sidi Gaber, Alexandria",Alexandria,35720000,24 hours,31.1981,29.9126
4,Luxor Police Station,Police Station,"El Karnak St, Luxor",Luxor,952371234,24 hours,25.6872,32.6396
5,Sharm El-Sheikh Police Station,Police Station,"Peace Rd, Hadaba, Sharm El-Sheikh",Sharm El-Sheikh,693600123,24 hours,27.9158,34.3302
6,Cairo Fire Station (Ramses),Fire Station,"Ramses St, Downtown, Cairo",Cairo,180,24 hours,30.058,31.244
7,Giza Fire Station,Fire Station,"Pyramids Rd, Giza",Giza,35728000,24 hours,30.0145,31.2085
8,Alexandria Fire Station,Fire Station,"El Sultan Hussein St, Alexandria",Alexandria,35790000,24 hours,31.2001,29.9184
9,Luxor Fire Station,Fire Station,"El Maabad St, Luxor",Luxor,952374567,24 hours,25.6989,32.6394
10,Hurghada Fire Station,Fire Station,"El Nasr Rd, Hurghada",Hurghada,653441234,24 hours,27.2574,33.8106
11,Kasr El Aini Teaching Hospital,Hospital,"Kasr El Aini St, Old Cairo",Cairo,23645500,24 hours,30.0287,31.227
12,Al-Salam International Hospital,Hospital,"Corniche El Maadi, Cairo",Cairo,25240000,24 hours,30,31.23
13,Dar Al Fouad Hospital,Hospital,"26th July Corridor, 6th of October City, Giza",Giza,23855000,24 hours,29.9355,30.9292
14,Luxor International Hospital,Hospital,"El Karnak St, Luxor",Luxor,952378978,24 hours,25.687,32.6395
15,Aswan University Hospital,Hospital,"El Sadat Rd, Aswan",Aswan,972313540,24 hours,24.1077,32.8937
16,Sharm International Hospital,Hospital,"El Salam Rd, Sharm El-Sheikh",Sharm El-Sheikh,693600100,24 hours,27.9158,34.3302
17,Seif Pharmacy — Zamalek,Pharmacy,"26th of July St, Zamalek, Cairo",Cairo,27351234,8 AM - 2 AM,30.0614,31.2167
18,El Ezaby Pharmacy — Nasr City,Pharmacy,"Makram Ebeid St, Nasr City, Cairo",Cairo,19600,24 hours,30.0592,31.3348
19,El Nour Pharmacy — Alexandria,Pharmacy,"Mostafa Kamel St, Alexandria",Alexandria,35462345,24 hours,31.2001,29.9043
20,Luxor Pharmacy,Pharmacy,"El Sharia El Kebir, Luxor",Luxor,952371222,9 AM - 12 AM,25.6958,32.6429
21,57357 Children's Cancer Hospital,Hospital,"El Sekka El Gedida, Abbassia, Cairo",Cairo,,24 hours,30.0557,31.2256
22,Ain Shams University Hospital (El Demerdash),Hospital,"Abbassia, Cairo",Cairo,,24 hours,30.081,31.281
23,Ain Shams Specialized Hospital,Hospital,"Abbassia, Cairo",Cairo,,24 hours,30.082,31.279
24,National Cancer Institute,Hospital,"Fom El Khalig, Cairo",Cairo,,24 hours,30.029,31.229
25,Nasser Institute for Research and Treatment,Hospital,"Shubra, Cairo",Cairo,,24 hours,30.048,31.24
26,National Heart Institute,Hospital,"Imbaba (Kit Kat), Giza",Giza,,24 hours,30.08,31.213
27,Abou El Reish Pediatric Hospital,Hospital,"Manial, Giza",Giza,,24 hours,30.031,31.207
28,El Galaa Hospital,Hospital,"El Qobba, Cairo",Cairo,,24 hours,30.089,31.296
29,Cleopatra Hospital,Hospital,"Heliopolis, Cairo",Cairo,,24 hours,30.096,31.319
30,Anglo-American Hospital,Hospital,"Zamalek, Cairo",Cairo,,24 hours,30.064,31.218
31,Coptic Hospital,Hospital,"Fagala, Cairo",Cairo,,24 hours,30.057,31.256
32,Nile Badrawi Hospital,Hospital,"Corniche El Nil, Maadi, Cairo",Cairo,,24 hours,29.996,31.231
33,Dar El Hekma Hospital,Hospital,"Nasr City, Cairo",Cairo,,24 hours,30.062,31.334
34,Dar El Shefa Hospital,Hospital,"Shubra, Cairo",Cairo,,24 hours,30.088,31.244
35,El Nozha International Hospital,Hospital,"Heliopolis, Cairo",Cairo,,24 hours,30.107,31.348
36,Cairo Medical Center,Hospital,"Heliopolis, Cairo",Cairo,,24 hours,30.09,31.32
37,Saudi German Hospital Cairo,Hospital,New Cairo,Cairo,,24 hours,30.032,31.475
38,Sheikh Zayed Specialized Hospital,Hospital,"Sheikh Zayed, Giza",Giza,,24 hours,29.995,30.98
39,October 6 University Hospital,Hospital,"6th of October City, Giza",Giza,,24 hours,29.935,30.925
40,Watany Eye Hospital,Hospital,"Nasr City, Cairo",Cairo,,24 hours,30.063,31.334
41,Ibn Sina Hospital,Hospital,"Dokki, Giza",Giza,,24 hours,30.038,31.204
42,Behman Hospital,Hospital,"Maadi, Cairo",Cairo,,24 hours,29.972,31.258
43,Misr International Hospital,Hospital,"Dokki, Giza",Giza,,24 hours,30.038,31.203
44,International Medical Center,Hospital,Cairo–Ismailia Desert Road,Cairo,,24 hours,30.09,31.58
