"Id","Name","City","Category","latitude","longitude","TicketPrice","Rating","Visits","Status"
2,"The Great Sphinx","Giza","Archaeological",29.9753,31.1376,0.00,4.70,15600,"Active"
3,"Karnak Temple Complex","Luxor","Temple",25.7188,32.6573,150.00,4.60,12450,"Active"
4,"Valley of the Kings","Luxor","Archaeological",25.7402,32.6014,180.00,4.70,10300,"Active"
5,"Abu Simbel Temples","Aswan","Temple",22.3372,31.6258,220.00,4.90,8900,"Active"
6,"Qaitbay Citadel","Alexandria","Historical",31.2141,29.8858,40.00,4.30,7200,"Active"
7,"Egyptian Museum","Cairo","Museum",30.0478,31.2336,100.00,4.50,22100,"Active"
8,"Saint Catherine's Monastery","South Sinai","Religious",28.5569,33.9758,50.00,4.40,4500,"Active"
9,"Siwa Oasis","Matrouh","Natural",29.2031,25.5195,30.00,4.60,3200,"Active"
10,"Wadi El Hitan (Whale Valley)","Fayoum","Natural",29.2711,30.0389,25.00,4.20,1800,"Pending"
11,"Dendera Temple","Qena","Temple",26.1415,32.6697,80.00,4.50,5600,"Active"
12,"Tanis (Ancient City)","Sharqia","Archaeological",30.9769,31.8731,20.00,4.00,900,"Pending"
13,"Dahshur Pyramids","Giza","Archaeological",29.8086,31.2214,60.00,4.30,4100,"Active"
14,"The Grand Egyptian Museum","Giza","Museum",29.9884,31.1188,250.00,4.90,9800,"Active"
15,"Saladin Citadel","Cairo","Historical",30.0287,31.2599,60.00,4.20,6700,"Active"
16,"Bibliotheca Alexandrina","Alexandria","Museum",31.2089,29.9097,35.00,4.50,8900,"Active"
17,"Al-Azhar Mosque","Cairo","Religious",30.0454,31.262,0.00,4.60,11200,"Active"
18,"Philae Temple","Aswan","Temple",24.0249,32.8846,120.00,4.70,6400,"Active"
19,"Abdelfattah Area","Aswan","Temple",23.972293,32.849808,500.00,NULL,0,"Active"
1,"The Great Pyramids of Giza","Giza","Archaeological",29.9792,31.1342,200.00,4.80,18201,"Active"
20,"مطار العاصمة الدولى","القاهرة",NULL,30.04972,31.841125,20.00,NULL,2,"Active"
